Facility ID,Facility Name,Facility Type,Ownership,Operational Status,Province,District,Services
2219,Franco Urban Health Centre,Health Centre,MOH,Functional,Copperbelt,Luanshya,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Dental; Laboratory Services; Public Health Services; ART & VMMC"
1490,Ndoka Health Post,Health Post,MOH,Functional,Western,Kalabo,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
1377,Kapululira Rural Health Centre,Health Centre,MOH,Functional,Southern,Chirundu,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
3510,Nomai Health Post,Health Post,MOH,Functional,Western,Mongu,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
2707,Chinkobo Health Post,Health Post,MOH,Functional,Muchinga,Kanchibiya,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services; General Practice Consultation & Treatment; Maternity"
2614,Muzabula Health Post,Health Post,MOH,Functional,North-Western,Solwezi,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
2372,Wusakile Mine Hospital,2nd Level Hospital,Private,Functional,Copperbelt,Kitwe,N/A
4284,Muyombe District Hospital,1st Level Hospital,MOH,Functional,Muchinga,Mafinga,Surgery; Internal Medicine (Infectious and None Communicable Medicine); Critical Care Medicine (High Dependency Care); Laboratory Services; Dental; Ophthalmology; Obstetrics and Gynaecology; Palliative care services; Patient Referral and Transfer; Physiotherapy and Rehabilitation; Psychiatry and Mental Health; Imaging such as radiology and sonography (Simple and Special); Resuscitation and Emergency Medicine
1418,Luubwe Rural Health Centre,Health Centre,MOH,Functional,Southern,Itezhi-Tezhi,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
2358,Chamboli J Clinic (Mopani),Health Centre,MOH,Functional,Copperbelt,Kitwe,"General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; ART & VMMC; Public Health Services; Dental; Laboratory Services"
2671,Chipako Rural Health Center,Health Centre,MOH,Functional,Luapula,Samfya,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation); General Practice Consultation & Treatment; Maternity; Dental; Laboratory Services; Public Health Services; ART & VMMC"
3670,Good News Clinic,Health Post,Faith Based,Functional,Northern,Mpulungu,N/A
3726,Chishinka Health centre,Health Centre,MOH,Functional,Central,Kapiri-Mposhi,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
3777,Upper Lusemfwa  Health Post,Health Post,MOH,Functional,Central,Mkushi,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
1449,Nitrogen Chemicals of Zambia,Diagnostic centre,Private,Functional,Lusaka,Kafue,N/A
3731,Kaswende Health post,Health Post,MOH,Functional,Central,Kapiri-Mposhi,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
4231,Victoria Hospital,1st Level Hospital,Private,Functional,Lusaka,Lusaka,N/A
3376,Milima Rural Health Centre,Health Centre,MOH,Functional,Northern,Kasama,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; ART & VMMC"
1009,Victoria Falls Urban Health Centre,Health Centre,MOH,Functional,Southern,Livingstone,"Maternity; ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Dental; Laboratory Services; Public Health Services"
1363,Hakunkula Rural Health Centre,Health Centre,MOH,Functional,Southern,Monze,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; General Practice Consultation & Treatment; Dental; Laboratory Services; Public Health Services; ART & VMMC"
1457,Lukolongo Health Post,Health Post,MOH,Functional,Lusaka,Kafue,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
2983,Katutwa Health Post,Health Post,MOH,Functional,Northern,Mporokoso,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
3299,Kapesa Health post,Health Post,MOH,Functional,Luapula,Mwansabombwe,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
1045,Imusho Rural Health Centre,Health Centre,MOH,Functional,Western,Sesheke,"ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; Public Health Services"
4698,Kyangozhi Rural Health Centre,Health Centre,MOH,Functional,North-Western,Kalumbila,N/A
3436,Lualizi Health Post,Health Post,MOH,Functional,Muchinga,Isoka,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
3801,Lubansa Health Post,Health Post,MOH,Functional,Copperbelt,Chililabombwe,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity"
