facility_code,service_category,service_group,service_detail
1323,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
1323,Public Health Services,Public Health Services,Public Health Services
3720,Public Health Services,Public Health Services,Public Health Services
3720,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
3720,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
3720,Maternity,Maternity,Maternity
3720,Dental,Dental,Dental
3720,Laboratory Services,Laboratory Services,Laboratory Services
3720,ART & VMMC,ART & VMMC,ART & VMMC
3125,Maternity,Maternity,Maternity
3125,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
3125,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
3125,Public Health Services,Public Health Services,Public Health Services
2248,Maternity,Maternity,Maternity
2248,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
2248,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
2248,Public Health Services,Public Health Services,Public Health Services
1787,Maternity,Maternity,Maternity
1787,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
1787,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
1787,Public Health Services,Public Health Services,Public Health Services
3733,Maternity,Maternity,Maternity
3733,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
