facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin1,status
Mkaa Health Clinic and Maternity,07/10/1/1/1/0046,Primary,Private,6.997606667,8.782475,Benue,NA
Ngwaiyiekwe Primary Health Center,01/12/1/1/1/0015,Primary,Public,4.9841088,7.2849031,Abia,NA
Achalla Enugwu Agidi Health Post,04/13/1/1/2/0001,Primary,Public,6.22833419,7.01346155,Anambra,NA
Umuogazi Primary Health Center,04/15/1/1/1/0062,Primary,Public,5.934113333,6.93488,Anambra,NA
Ujodo Health Post,14/03/1/1/2/0037,Primary,Private,6.4820354,7.5777914,Enugu,NA
Ape Health Center,14/10/1/1/2/0009,Primary,Public,6.67471131232,7.76312025616,Enugu,NA
Egede Health Clinic,14/16/1/1/2/0019,Primary,Public,6.475832,7.3900599,Enugu,NA
Achara Health Post,16/13/1/1/1/0001,Primary,Public,5.65629832,7.01780944,Imo,NA
Agoeri Primary Health Clinic,28/08/1/1/1/0034,Primary,Public,6.17612,4.941903333,Ondo,NA
Zion Ogogoro Primary Health Clinic,28/11/1/1/1/0011,Primary,Public,6.206725,4.658423333,Ondo,NA
Ilebe Primary Health Clinic,28/14/1/1/1/0018,Primary,Public,6.6868829,4.6187052,Ondo,NA
Abusoro Primary Health Clinic,28/14/1/1/1/0032,Primary,Public,6.4902703,4.7053583,Ondo,NA
Farmsettlement Primary Health Clinic,28/14/1/1/1/0007,Primary,Public,6.5503237,4.7495293,Ondo,NA
Olosunde Awotunde Babarere Primary Health Center,30/26/1/1/1/0032,Primary,Public,7.35102882322,3.97972823522,Oyo,NA
Jajaye Health Clinic,19/33/1/1/1/0010,Primary,Public,11.55685027,7.935656492,Kano,NA
Karshi Health Clinic,19/33/1/1/1/0012,Primary,Public,11.54989,7.87368,Kano,NA
Dausayi Health Clinic,19/17/1/1/1/0005,Primary,Public,11.997011,8.505453,Kano,NA
Yar Tofa (Wra) Health Post,19/43/1/1/1/0023,Primary,Public,11.929934,8.687875,Kano,NA
Pevikyaa Nkst Health Clinic,07/21/1/1/2/0150,Primary,Private,7.71061,9.74712,Taraba,NA
Ibi First Referral Hospital,34/06/1/2/1/0001,Secondary,Public,8.11438,9.77545,Taraba,NA
Dammare Health Post,34/08/1/1/1/0007,Primary,Public,9.278686523,10.87530518,Taraba,NA
Bibinu Health Clinic,34/03/1/1/1/0008,Primary,Public,7.71865,10.01306,Taraba,NA
Garleya Primary Health Clinic,34/03/1/1/1/0017,Primary,Public,7.53591,10.37642,Taraba,NA
Nyimui Health Clinic,34/03/1/1/1/0039,Primary,Public,7.32522,10.25564,Taraba,NA
Nayeh Health Clinic,34/06/1/1/1/0023,Primary,Public,8.25416,9.57689,Taraba,NA
Sabon Layi Crcn Maternity Clinic,34/06/1/1/2/0004,Primary,Private,8.331726074,9.691101074,Taraba,NA
Bandawa Vinang Health Post,34/10/1/1/1/0006,Primary,Public,9.168,11.12625,Taraba,NA
Sabon Gari Health Post,34/08/1/1/1/0062,Primary,Public,9.45777,11.43588,Taraba,NA
Yitti Primary Health Care Center,34/10/1/1/1/0046,Primary,Public,9.272521973,11.61468506,Taraba,NA
Kwamiding Primary Health Clinic,34/10/1/1/1/0023,Primary,Public,9.231323242,11.63952637,Taraba,NA
Jootar Primary Health Clinic,07/12/1/1/1/0019,Primary,Public,7.84794,9.37755,Taraba,NA
Dangong Primary Health Clinic,34/16/1/1/1/0010,Primary,Public,8.83524,11.74955,Taraba,NA
Bika Babba Health Clinic,34/13/1/1/1/0010,Primary,Public,7.202514648,9.993530273,Taraba,NA
Lokoro Primary Health Care Center,02/06/1/1/1/0038,Primary,Public,9.856506348,11.93231201,Adamawa,NA
Thuku Primary Health Clinic,02/13/1/1/1/0048,Primary,Public,10.48851,13.45372,Adamawa,NA
Sai Primary Health Center,07/09/1/1/1/0060,Primary,Public,7.57396,9.90409,Taraba,NA
Rafa Clinic,34/13/1/1/2/0005,Primary,Private,7.037109375,10.12310791,Taraba,NA
Funki Primary Health Center,34/13/1/1/1/0014,Primary,Public,7.03527832,9.975524902,Taraba,NA
Lissam Jatau Health Clinic,34/13/1/1/1/0039,Primary,Public,7.007080078,10.05432129,Taraba,NA
Fikyu Ndukwe Primary Health Clinic,34/13/1/1/1/0012,Primary,Public,7.112304687,10.00488281,Taraba,NA
Bali Town Primary Health Care Center,34/02/1/1/1/0002,Primary,Public,7.85778,10.96801,Taraba,NA
Nyawanti Primary Health Clinic,34/02/1/1/1/0053,Primary,Public,8.43021,11.47706,Taraba,NA
Gembu Primary Health Clinic,34/11/1/1/1/0015,Primary,Public,6.71544,11.24824,Taraba,NA
