facility_code,service_category,service_group,service_detail
LL040011,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Skilled vaccine  providers
LL040011,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Staff trained  in vaccine management
LL040011,HIV/AIDS & Counseling,HIV/AIDS & Counseling,staff trained in monitoring
LL040011,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Staff trained in disease surveillance
LL040011,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Staff trained in injection safety
LL040011,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Disposable syringes
LL040011,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Auto-disable syringes
LL040011,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Polio vaccine diluent
LL040011,HIV/AIDS & Counseling,HIV/AIDS & Counseling,BCG vaccine diluent
LL040011,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Pneumococcol vaccine
LL040011,HIV/AIDS & Counseling,HIV/AIDS & Counseling,DPT Vaccine
LL040011,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Measles vaccine
LL040011,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Management of malnutrition
